,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
0,a203,45,67.97341878,2,Infubinol,Female,20,23
1,a251,45,65.52574285,1,Infubinol,Female,21,25
2,a262,45,70.71762058,4,Placebo,Female,17,29
3,a275,45,62.99935619,3,Ceftamin,Female,20,28
4,a366,30,63.44068627,1,Stelasyn,Female,16,29
5,a401,45,66.79415599,4,Zoniferol,Female,8,25
6,a411,45,38.4076183,1,Ramicane,Male,3,22
7,a444,45,43.0475426,0,Ramicane,Female,10,25
8,a457,10,49.78341894,0,Ketapril,Female,11,30
9,a492,45,60.12201052,1,Stelasyn,Male,20,25
10,a520,45,38.81036633,1,Ramicane,Male,13,21
11,a577,30,57.03186187,2,Infubinol,Female,6,25
12,a644,45,32.97852192,1,Ramicane,Female,7,17
13,a685,45,66.08306589,3,Infubinol,Male,8,30
14,a699,45,62.19141437,1,Propriva,Female,5,28
15,a788,30,60.41370908,1,Zoniferol,Male,5,30
16,a818,45,74.99776443,2,Naftisol,Female,12,28
17,a897,45,72.25596306,4,Placebo,Male,7,28
18,a963,45,62.76509317,1,Stelasyn,Female,23,27
19,b128,45,38.98287774,2,Capomulin,Female,9,22
20,b313,25,55.74514628,1,Zoniferol,Male,12,27
21,b447,0,45.0,0,Ceftamin,Male,2,30
22,b487,25,56.05774909,1,Ceftamin,Female,6,28
23,b559,45,73.05136339,1,Naftisol,Male,20,26
24,b742,45,38.93963263,0,Capomulin,Male,7,21
25,b759,30,55.74282869,1,Ceftamin,Female,12,25
26,b879,45,72.55523894,2,Stelasyn,Female,4,26
27,c139,45,72.2267309,2,Infubinol,Male,11,28
28,c264,45,67.94212107,2,Zoniferol,Female,11,27
29,c282,45,65.81516535,2,Placebo,Male,12,27
30,c302,45,64.57522157,4,Zoniferol,Female,10,29
31,c326,5,36.3213458,0,Infubinol,Female,18,25
32,c402,45,74.04039018,3,Stelasyn,Female,1,27
33,c458,30,38.34200823,2,Ramicane,Female,23,20
34,c559,45,61.84005842,4,Zoniferol,Female,19,28
35,c580,30,58.04656941,3,Ketapril,Male,22,25
36,c757,45,69.04284082,3,Placebo,Male,9,27
37,c758,45,33.39765251,1,Ramicane,Male,9,17
38,c766,45,69.82314577,4,Placebo,Female,13,26
39,c819,40,62.17570465,1,Ketapril,Male,21,25
40,c832,45,65.41595451,3,Ketapril,Male,18,29
41,c895,30,60.96971133,2,Infubinol,Female,7,29
42,c927,40,64.18322918,4,Propriva,Female,4,26
43,d133,0,45.0,0,Zoniferol,Male,5,30
44,d164,10,47.47464468,1,Zoniferol,Male,21,28
45,d251,45,37.31123552,2,Ramicane,Female,8,19
46,d474,40,60.23373278,1,Ketapril,Male,18,27
47,e213,45,63.1056963,4,Naftisol,Male,8,27
48,e227,45,73.21293851,3,Placebo,Male,1,30
49,e291,25,55.1389525,2,Naftisol,Female,14,29
50,e476,45,62.43540402,1,Infubinol,Male,23,26
51,e584,45,68.3597767,4,Naftisol,Male,9,27
52,e662,45,40.65900627,2,Ramicane,Male,8,24
53,f129,15,49.98830246,1,Zoniferol,Female,11,29
54,f234,35,57.74875831,2,Stelasyn,Male,14,28
